card_name,rarity,price_usd,probability,expected_value
Piercing Exhale,common,0.03,0.104167,0.0031250099999999997
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Jeskai Devotee,common,0.03,0.104167,0.0031250099999999997
Watcher of the Wayside,common,0.02,0.104167,0.00208334
Stormplain Detainment,common,0.02,0.104167,0.00208334
Agent of Kotis,common,0.03,0.104167,0.0031250099999999997
Focus the Mind,common,0.08,0.104167,0.00833336
Dismal Backwater,common,0.03,0.104167,0.0031250099999999997
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Wingblade Disciple,uncommon,0.07,0.03,0.0021000000000000003
Breaching Dragonstorm,uncommon,0.16,0.03,0.0048
Opulent Palace,uncommon,0.15,0.03,0.0045
Avenger of the Fallen,rare,0.53,0.016667,0.008833510000000001
Unending Whisper,common,0.05,0.104167,0.0052083500000000005
Jeskai Devotee,common,0.03,0.104167,0.0031250099999999997
Bloodfell Caves,common,0.03,0.104167,0.0031250099999999997
Reigning Victor,common,0.06,0.104167,0.006250019999999999
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Riling Dawnbreaker // Signaling Roar,common,0.05,0.104167,0.0052083500000000005
Gurmag Nightwatch,common,0.04,0.104167,0.00416668
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Iceridge Serpent,common,0.04,0.104167,0.00416668
Snowmelt Stag,common,0.04,0.104167,0.00416668
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Unsparing Boltcaster,uncommon,0.06,0.03,0.0018
Opulent Palace,uncommon,0.15,0.03,0.0045
Formation Breaker,uncommon,0.04,0.03,0.0012
Clarion Conqueror,rare,1.37,0.016667,0.022833790000000003
Dragonback Assault,mythic,3.19,0.00625,0.0199375
Cruel Truths,common,0.02,0.104167,0.00208334
Blossoming Sands,common,0.08,0.104167,0.00833336
Jade-Cast Sentinel,common,0.04,0.104167,0.00416668
Riling Dawnbreaker // Signaling Roar,common,0.05,0.104167,0.0052083500000000005
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Arashin Sunshield,common,0.02,0.104167,0.00208334
Iceridge Serpent,common,0.04,0.104167,0.00416668
