Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
"Aatchik, Emerald Radian",dft,187,rare,True,True,0.18,legendary,0.16
Adrenaline Jockey,dft,112,uncommon,True,True,0.03,,0.288
Aetherjacket,dft,230,common,True,True,0.03,,1.0
Aether Syphon,dft,38,uncommon,True,True,0.08,,0.288
Afterburner Expert,dft,150,rare,True,True,0.15,,0.16
Agonasaur Rex,dft,151,rare,True,True,1.08,,0.1
Air Response Unit,dft,1,uncommon,True,True,0.03,,0.288
Alacrian Armory,dft,2,uncommon,True,True,0.05,,0.288
Alacrian Jaguar,dft,152,common,True,True,0.02,,1.0
Amonkhet Raceway,dft,248,uncommon,True,True,0.27,,0.288
Ancient Vendetta,dft,75,uncommon,True,True,0.04,,0.288
Apocalypse Runner,dft,188,uncommon,True,True,0.02,,0.288
Autarch Mammoth,dft,153,uncommon,True,True,0.03,,0.288
Avishkar Raceway,dft,249,common,True,True,0.04,,1.0
Back on Track,dft,76,uncommon,True,True,0.03,,0.288
"Basri, Tomorrow's Champion",dft,3,rare,True,True,0.22,legendary,0.16
Beastrider Vanguard,dft,154,common,True,True,0.02,,1.0
Bestow Greatness,dft,155,common,True,True,0.05,,1.0
Bleachbone Verge,dft,250,rare,True,True,7.70,,0.004
Bloodfell Caves,dft,251,common,True,True,0.05,,1.0
Bloodghast,dft,77,rare,True,True,0.79,,0.16
Blossoming Sands,dft,252,common,True,True,0.05,,1.0
Boommobile,dft,113,rare,True,True,0.11,,0.16
Boom Scholar,dft,189,uncommon,True,True,0.02,,0.288
Boosted Sloop,dft,190,uncommon,True,True,0.04,,0.288
Bounce Off,dft,39,common,True,True,0.05,,1.0
Brightfield Glider,dft,4,common,True,True,0.02,,1.0
Brightfield Mustang,dft,5,common,True,True,0.01,,1.0
Brightglass Gearhulk,dft,191,mythic,True,True,6.45,,0.036
Broadcast Rambler,dft,6,common,True,True,0.03,,1.0
Broadside Barrage,dft,192,uncommon,True,True,0.07,,0.288
Broken Wings,dft,156,common,True,True,0.01,,1.0
Broodheart Engine,dft,193,uncommon,True,True,0.15,,0.288
Bulwark Ox,dft,7,rare,True,True,0.25,,0.16
Burner Rocket,dft,114,common,True,True,0.02,,1.0
Burnout Bashtronaut,dft,115,rare,True,True,0.25,,0.16
"Caelorna, Coral Tyrant",dft,40,uncommon,True,True,0.13,legendary,0.288
Camera Launcher,dft,232,common,True,True,0.02,,1.0
Canyon Vaulter,dft,8,uncommon,True,True,0.03,,0.288
"Captain Howler, Sea Scourge",dft,194,rare,True,True,0.22,legendary,0.16
"Caradora, Heart of Alacria",dft,195,rare,True,True,0.12,legendary,0.16
Carrion Cruiser,dft,78,uncommon,True,True,0.04,,0.288
"Chandra, Spark Hunter",dft,116,mythic,True,True,5.91,,0.036
Chitin Gravestalker,dft,79,common,True,True,0.06,,1.0
Clamorous Ironclad,dft,117,common,True,True,0.02,,1.0
Cloudspire Captain,dft,9,uncommon,True,True,0.05,,0.288
Cloudspire Coordinator,dft,196,uncommon,True,True,0.03,,0.288
Cloudspire Skycycle,dft,197,uncommon,True,True,0.03,,0.288
Coalstoke Gearhulk,dft,198,mythic,True,True,0.90,,1.44
Collision Course,dft,10,common,True,True,0.01,,1.0
Count on Luck,dft,118,rare,True,True,0.38,enchantment,0.16
Country Roads,dft,253,uncommon,True,True,0.07,,0.288
Crash and Burn,dft,119,common,True,True,0.01,,1.0
Cryptcaller Chariot,dft,80,rare,True,True,0.35,,0.16
Cursecloth Wrappings,dft,81,rare,True,True,0.41,,0.16
"Daretti, Rocketeer Engineer",dft,120,rare,True,True,0.14,legendary,0.16
Daring Mechanic,dft,11,common,True,True,0.03,,1.0
Deathless Pilot,dft,82,common,True,True,0.02,,1.0
Debris Beetle,dft,199,rare,True,True,0.16,,0.16
Defend the Rider,dft,157,uncommon,True,True,0.22,,0.288
Demonic Junker,dft,83,rare,True,True,0.24,,0.16
Detention Chariot,dft,12,uncommon,True,True,0.02,,0.288
Dismal Backwater,dft,254,common,True,True,0.04,,1.0
District Mascot,dft,158,rare,True,True,0.36,,0.16
Diversion Unit,dft,41,uncommon,True,True,0.12,,0.288
Draconautics Engineer,dft,121,rare,True,True,0.45,,0.16
Dracosaur Auxiliary,dft,122,uncommon,True,True,0.06,,0.288
Dredger's Insight,dft,159,uncommon,True,True,0.23,enchantment,0.288
Dune Drifter,dft,200,uncommon,True,True,0.04,,0.288
Dynamite Diver,dft,123,common,True,True,0.02,,1.0
Earthrumbler,dft,160,uncommon,True,True,0.03,,0.288
Elvish Refueler,dft,161,uncommon,True,True,0.05,,0.288
Embalmed Ascendant,dft,201,uncommon,True,True,0.07,,0.288
Endrider Catalyzer,dft,124,common,True,True,0.01,,1.0
