dateRange,averagePrice,quantity
5/20 to 5/26,$8.44,5
5/27 to 6/2,$8.29,3
6/3 to 6/9,$8.26,3
6/10 to 6/16,$8.26,0
6/17 to 6/23,$8.40,3
6/24 to 6/30,$8.40,2
7/1 to 7/7,$8.28,4
7/8 to 7/14,$8.34,2
7/15 to 7/21,$8.29,1
7/22 to 7/28,$8.36,0
7/29 to 8/4,$8.44,0
8/5 to 8/11,$8.28,1
8/12 to 8/18,$8.17,3
8/19 to 8/25,$8.17,0
8/26 to 9/1,$8.05,3
9/2 to 9/8,$7.99,1
9/9 to 9/15,$7.80,5
9/16 to 9/22,$7.24,3
9/23 to 9/29,$7.12,2
9/30 to 10/6,$6.93,3
10/7 to 10/13,$6.77,3
10/14 to 10/20,$6.92,1
10/21 to 10/27,$7.02,1
10/28 to 11/3,$7.06,1
11/4 to 11/10,$7.48,5
11/11 to 11/17,$7.55,1
11/18 to 11/24,$8.09,5
11/25 to 12/1,$8.53,4
12/2 to 12/8,$8.89,2
12/9 to 12/15,$9.69,4
12/16 to 12/22,$10.15,3
12/23 to 12/29,$10.18,4
12/30 to 1/5,$10.45,2
1/6 to 1/12,$11.35,6
1/13 to 1/19,$12.56,5
1/20 to 1/26,$12.92,5
1/27 to 2/2,$13.47,1
2/3 to 2/9,$13.70,3
2/10 to 2/16,$14.43,2
2/17 to 2/23,$16.00,2
2/24 to 3/2,$16.17,1
3/3 to 3/9,$16.75,4
3/10 to 3/16,$17.64,6
3/17 to 3/23,$17.76,1
3/24 to 3/30,$17.67,1
3/31 to 4/6,$17.74,3
4/7 to 4/13,$17.65,2
4/14 to 4/20,$17.68,0
4/21 to 4/27,$17.80,1
4/28 to 5/4,$18.03,2
5/5 to 5/11,$20.21,14
5/12 to 5/18,$20.21,0
