date,condition,quantity,price
5/16/25,"NM Holofoil
Near Mint Holofoil",1,36.12
5/16/25,"NM Holofoil
Near Mint Holofoil",1,28.99
5/16/25,"NM Holofoil
Near Mint Holofoil",1,20.01
5/16/25,"NM Holofoil
Near Mint Holofoil",1,21.01
5/16/25,"NM Holofoil
Near Mint Holofoil",1,20.0
5/16/25,"NM Holofoil
Near Mint Holofoil",1,24.0
5/16/25,"NM Holofoil
Near Mint Holofoil",1,19.89
5/16/25,"NM Holofoil
Near Mint Holofoil",1,20.0
5/16/25,"NM Holofoil
Near Mint Holofoil",1,24.0
5/16/25,"NM Holofoil
Near Mint Holofoil",1,22.0
5/16/25,"NM Holofoil
Near Mint Holofoil",1,22.64
5/16/25,"NM Holofoil
Near Mint Holofoil",1,17.74
5/16/25,"NM Holofoil
Near Mint Holofoil",1,19.65
5/12/25,"NM Holofoil
Near Mint Holofoil",1,19.0
5/11/25,"NM Holofoil
Near Mint Holofoil",1,18.13
5/9/25,"NM Holofoil
Near Mint Holofoil",1,18.75
4/29/25,"NM Holofoil
Near Mint Holofoil",1,17.65
4/18/25,"NM Holofoil
Near Mint Holofoil",1,17.74
4/17/25,"NM Holofoil
Near Mint Holofoil",1,14.75
4/13/25,"NM Holofoil
Near Mint Holofoil",1,15.74
4/9/25,"NM Holofoil
Near Mint Holofoil",1,14.5
4/7/25,"NM Holofoil
Near Mint Holofoil",1,17.97
3/31/25,"NM Holofoil
Near Mint Holofoil",1,17.76
3/24/25,"NM Holofoil
Near Mint Holofoil",1,15.9
3/23/25,"NM Holofoil
Near Mint Holofoil",1,21.4
3/22/25,"NM Holofoil
Near Mint Holofoil",1,18.44
3/22/25,"NM Holofoil
Near Mint Holofoil",1,16.5
3/22/25,"NM Holofoil
Near Mint Holofoil",1,19.99
3/21/25,"NM Holofoil
Near Mint Holofoil",1,16.44
3/19/25,"NM Holofoil
Near Mint Holofoil",1,16.5
3/15/25,"NM Holofoil
Near Mint Holofoil",1,13.99
3/14/25,"NM Holofoil
Near Mint Holofoil",1,16.99
3/11/25,"NM Holofoil
Near Mint Holofoil",1,15.39
3/11/25,"NM Holofoil
Near Mint Holofoil",1,15.99
3/9/25,"NM Holofoil
Near Mint Holofoil",1,14.4
3/2/25,"NM Holofoil
Near Mint Holofoil",1,49.99
3/1/25,"NM Holofoil
Near Mint Holofoil",1,14.23
2/23/25,"NM Holofoil
Near Mint Holofoil",1,16.49
2/19/25,"NM Holofoil
Near Mint Holofoil",1,15.0
2/15/25,"NM Holofoil
Near Mint Holofoil",1,13.66
2/14/25,"NM Holofoil
Near Mint Holofoil",1,14.56
2/11/25,"NM Holofoil
Near Mint Holofoil",1,16.95
2/8/25,"NM Holofoil
Near Mint Holofoil",1,22.64
2/2/25,"NM Holofoil
Near Mint Holofoil",1,12.0
1/29/25,"NM Holofoil
Near Mint Holofoil",1,19.99
1/28/25,"NM Holofoil
Near Mint Holofoil",1,12.72
1/27/25,"NM Holofoil
Near Mint Holofoil",2,13.78
1/25/25,"NM Holofoil
Near Mint Holofoil",1,19.99
1/24/25,"NM Holofoil
Near Mint Holofoil",1,13.0
1/23/25,"NM Holofoil
Near Mint Holofoil",1,14.78
1/23/25,"NM Holofoil
Near Mint Holofoil",1,14.0
1/21/25,"NM Holofoil
Near Mint Holofoil",1,19.99
