dateRange,averagePrice,quantity
5/13 to 5/19,$4.15,81
5/20 to 5/26,$3.92,110
5/27 to 6/2,$4.09,107
6/3 to 6/9,$3.88,131
6/10 to 6/16,$3.59,90
6/17 to 6/23,$3.33,110
6/24 to 6/30,$3.47,85
7/1 to 7/7,$3.94,104
7/8 to 7/14,$3.94,90
7/15 to 7/21,$4.68,87
7/22 to 7/28,$3.10,85
7/29 to 8/4,$3.71,109
8/5 to 8/11,$3.46,84
8/12 to 8/18,$3.60,93
8/19 to 8/25,$3.66,107
8/26 to 9/1,$3.38,74
9/2 to 9/8,$3.57,88
9/9 to 9/15,$3.96,88
9/16 to 9/22,$3.63,130
9/23 to 9/29,$3.73,72
9/30 to 10/6,$3.47,89
10/7 to 10/13,$3.45,125
10/14 to 10/20,$3.70,87
10/21 to 10/27,$3.86,94
10/28 to 11/3,$3.48,90
11/4 to 11/10,$3.13,100
11/11 to 11/17,$3.78,90
11/18 to 11/24,$3.64,227
11/25 to 12/1,$3.62,111
12/2 to 12/8,$4.02,92
12/9 to 12/15,$3.43,117
12/16 to 12/22,$4.18,91
12/23 to 12/29,$4.26,122
12/30 to 1/5,$3.99,139
1/6 to 1/12,$4.00,125
1/13 to 1/19,$3.72,127
1/20 to 1/26,$3.45,129
1/27 to 2/2,$3.38,165
2/3 to 2/9,$3.57,170
2/10 to 2/16,$3.93,155
2/17 to 2/23,$4.16,186
2/24 to 3/2,$3.76,133
3/3 to 3/9,$3.43,176
3/10 to 3/16,$3.31,147
3/17 to 3/23,$2.64,161
3/24 to 3/30,$2.71,227
3/31 to 4/6,$3.23,184
4/7 to 4/13,$2.76,143
4/14 to 4/20,$3.16,164
4/21 to 4/27,$2.73,164
4/28 to 5/4,$2.42,173
5/5 to 5/11,$2.29,47
