date,condition,quantity,price
5/17/25,"NM Holofoil
Near Mint Holofoil",1,10.6
5/16/25,"NM Holofoil
Near Mint Holofoil",1,10.15
5/16/25,"NM Holofoil
Near Mint Holofoil",1,8.93
5/14/25,"NM Holofoil
Near Mint Holofoil",1,10.0
5/12/25,"NM Holofoil
Near Mint Holofoil",1,9.1
5/12/25,"NM Holofoil
Near Mint Holofoil",1,14.98
5/11/25,"NM Holofoil
Near Mint Holofoil",1,10.59
5/10/25,"NM Holofoil
Near Mint Holofoil",1,9.1
5/9/25,"NM Holofoil
Near Mint Holofoil",1,10.54
5/8/25,"NM Holofoil
Near Mint Holofoil",1,9.1
5/7/25,"NM Holofoil
Near Mint Holofoil",1,11.0
5/6/25,"NM Holofoil
Near Mint Holofoil",1,9.0
5/4/25,"NM Holofoil
Near Mint Holofoil",1,8.99
5/1/25,"NM Holofoil
Near Mint Holofoil",1,9.0
5/1/25,"NM Holofoil
Near Mint Holofoil",1,8.68
4/27/25,"NM Holofoil
Near Mint Holofoil",1,10.05
4/27/25,"NM Holofoil
Near Mint Holofoil",1,11.2
4/26/25,"NM Holofoil
Near Mint Holofoil",1,11.2
4/23/25,"NM Holofoil
Near Mint Holofoil",1,10.7
4/22/25,"NM Holofoil
Near Mint Holofoil",1,5.99
4/21/25,"NM Holofoil
Near Mint Holofoil",1,12.0
4/19/25,"NM Holofoil
Near Mint Holofoil",1,11.31
4/17/25,"NM Holofoil
Near Mint Holofoil",1,11.15
4/16/25,"NM Holofoil
Near Mint Holofoil",1,12.99
4/16/25,"NM Holofoil
Near Mint Holofoil",1,10.0
4/16/25,"NM Holofoil
Near Mint Holofoil",1,12.25
4/13/25,"NM Holofoil
Near Mint Holofoil",1,6.75
4/10/25,"NM Holofoil
Near Mint Holofoil",1,8.97
4/10/25,"NM Holofoil
Near Mint Holofoil",1,11.99
4/8/25,"NM Holofoil
Near Mint Holofoil",1,19.73
4/8/25,"NM Holofoil
Near Mint Holofoil",1,14.99
4/8/25,"NM Holofoil
Near Mint Holofoil",1,10.86
4/7/25,"NM Holofoil
Near Mint Holofoil",1,8.0
4/2/25,"NM Holofoil
Near Mint Holofoil",1,12.0
4/1/25,"NM Holofoil
Near Mint Holofoil",1,5.99
3/31/25,"NM Holofoil
Near Mint Holofoil",1,11.23
3/31/25,"NM Holofoil
Near Mint Holofoil",1,11.31
3/31/25,"NM Holofoil
Near Mint Holofoil",1,11.86
3/31/25,"NM Holofoil
Near Mint Holofoil",1,11.25
3/29/25,"NM Holofoil
Near Mint Holofoil",1,11.31
3/26/25,"NM Holofoil
Near Mint Holofoil",1,11.03
3/26/25,"NM Holofoil
Near Mint Holofoil",1,11.28
3/25/25,"NM Holofoil
Near Mint Holofoil",1,12.73
3/25/25,"NM Holofoil
Near Mint Holofoil",1,12.0
3/25/25,"NM Holofoil
Near Mint Holofoil",1,10.0
3/25/25,"NM Holofoil
Near Mint Holofoil",1,11.0
3/24/25,"NM Holofoil
Near Mint Holofoil",1,12.13
3/22/25,"NM Holofoil
Near Mint Holofoil",1,9.99
3/22/25,"NM Holofoil
Near Mint Holofoil",1,9.99
3/21/25,"NM Holofoil
Near Mint Holofoil",1,11.23
