Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
"Aatchik, Emerald Radian",dft,187,rare,True,True,0.18,legendary,0.016667
Adrenaline Jockey,dft,112,uncommon,True,True,0.03,,0.03
Aetherjacket,dft,230,common,True,True,0.03,,0.104167
Aether Syphon,dft,38,uncommon,True,True,0.08,,0.03
Afterburner Expert,dft,150,rare,True,True,0.15,,0.016667
Agonasaur Rex,dft,151,rare,True,True,1.08,,0.016667
Air Response Unit,dft,1,uncommon,True,True,0.03,,0.03
Alacrian Armory,dft,2,uncommon,True,True,0.05,,0.03
Alacrian Jaguar,dft,152,common,True,True,0.02,,0.104167
Amonkhet Raceway,dft,248,uncommon,True,True,0.27,,0.03
Ancient Vendetta,dft,75,uncommon,True,True,0.04,,0.03
Apocalypse Runner,dft,188,uncommon,True,True,0.02,,0.03
Autarch Mammoth,dft,153,uncommon,True,True,0.03,,0.03
Avishkar Raceway,dft,249,common,True,True,0.04,,0.104167
Back on Track,dft,76,uncommon,True,True,0.03,,0.03
"Basri, Tomorrow's Champion",dft,3,rare,True,True,0.22,legendary,0.016667
Beastrider Vanguard,dft,154,common,True,True,0.02,,0.104167
Bestow Greatness,dft,155,common,True,True,0.05,,0.104167
Bleachbone Verge,dft,250,rare,True,True,7.70,,0.016667
Bloodfell Caves,dft,251,common,True,True,0.05,,0.104167
Bloodghast,dft,77,rare,True,True,0.79,,0.016667
Blossoming Sands,dft,252,common,True,True,0.05,,0.104167
Boommobile,dft,113,rare,True,True,0.11,,0.016667
Boom Scholar,dft,189,uncommon,True,True,0.02,,0.03
Boosted Sloop,dft,190,uncommon,True,True,0.04,,0.03
Bounce Off,dft,39,common,True,True,0.05,,0.104167
Brightfield Glider,dft,4,common,True,True,0.02,,0.104167
Brightfield Mustang,dft,5,common,True,True,0.01,,0.104167
Brightglass Gearhulk,dft,191,mythic,True,True,6.45,,0.008333
Broadcast Rambler,dft,6,common,True,True,0.03,,0.104167
Broadside Barrage,dft,192,uncommon,True,True,0.07,,0.03
Broken Wings,dft,156,common,True,True,0.01,,0.104167
Broodheart Engine,dft,193,uncommon,True,True,0.15,,0.03
Bulwark Ox,dft,7,rare,True,True,0.25,,0.016667
Burner Rocket,dft,114,common,True,True,0.02,,0.104167
Burnout Bashtronaut,dft,115,rare,True,True,0.25,,0.016667
"Caelorna, Coral Tyrant",dft,40,uncommon,True,True,0.13,legendary,0.03
Camera Launcher,dft,232,common,True,True,0.02,,0.104167
Canyon Vaulter,dft,8,uncommon,True,True,0.03,,0.03
"Captain Howler, Sea Scourge",dft,194,rare,True,True,0.22,legendary,0.016667
"Caradora, Heart of Alacria",dft,195,rare,True,True,0.12,legendary,0.016667
Carrion Cruiser,dft,78,uncommon,True,True,0.04,,0.03
"Chandra, Spark Hunter",dft,116,mythic,True,True,5.91,,0.008333
Chitin Gravestalker,dft,79,common,True,True,0.06,,0.104167
Clamorous Ironclad,dft,117,common,True,True,0.02,,0.104167
Cloudspire Captain,dft,9,uncommon,True,True,0.05,,0.03
Cloudspire Coordinator,dft,196,uncommon,True,True,0.03,,0.03
Cloudspire Skycycle,dft,197,uncommon,True,True,0.03,,0.03
Coalstoke Gearhulk,dft,198,mythic,True,True,0.90,,0.008333
Collision Course,dft,10,common,True,True,0.01,,0.104167
Count on Luck,dft,118,rare,True,True,0.38,enchantment,0.016667
Country Roads,dft,253,uncommon,True,True,0.07,,0.03
Crash and Burn,dft,119,common,True,True,0.01,,0.104167
Cryptcaller Chariot,dft,80,rare,True,True,0.35,,0.016667
Cursecloth Wrappings,dft,81,rare,True,True,0.41,,0.016667
"Daretti, Rocketeer Engineer",dft,120,rare,True,True,0.14,legendary,0.016667
Daring Mechanic,dft,11,common,True,True,0.03,,0.104167
Deathless Pilot,dft,82,common,True,True,0.02,,0.104167
Debris Beetle,dft,199,rare,True,True,0.16,,0.016667
Defend the Rider,dft,157,uncommon,True,True,0.22,,0.03
Demonic Junker,dft,83,rare,True,True,0.24,,0.016667
Detention Chariot,dft,12,uncommon,True,True,0.02,,0.03
Dismal Backwater,dft,254,common,True,True,0.04,,0.104167
District Mascot,dft,158,rare,True,True,0.36,,0.016667
Diversion Unit,dft,41,uncommon,True,True,0.12,,0.03
Draconautics Engineer,dft,121,rare,True,True,0.45,,0.016667
Dracosaur Auxiliary,dft,122,uncommon,True,True,0.06,,0.03
Dredger's Insight,dft,159,uncommon,True,True,0.23,enchantment,0.03
Dune Drifter,dft,200,uncommon,True,True,0.04,,0.03
Dynamite Diver,dft,123,common,True,True,0.02,,0.104167
Earthrumbler,dft,160,uncommon,True,True,0.03,,0.03
Elvish Refueler,dft,161,uncommon,True,True,0.05,,0.03
Embalmed Ascendant,dft,201,uncommon,True,True,0.07,,0.03
Endrider Catalyzer,dft,124,common,True,True,0.01,,0.104167
Endrider Spikespitter,dft,125,uncommon,True,True,0.02,,0.03
Engine Rat,dft,84,common,True,True,0.10,,0.104167
Explosive Getaway,dft,202,rare,True,True,0.06,,0.016667
Fang-Druid Summoner,dft,163,uncommon,True,True,0.05,,0.03
Fang Guardian,dft,162,uncommon,True,True,0.02,,0.03
"Far Fortune, End Boss",dft,203,rare,True,True,0.16,legendary,0.016667
Fearless Swashbuckler,dft,204,rare,True,True,0.16,,0.016667
Flood the Engine,dft,42,common,True,True,0.04,enchantment,0.104167
Forest,dft,289,common,True,True,0.09,,0.104167
Foul Roads,dft,255,uncommon,True,True,0.03,,0.03
Fuel the Flames,dft,126,uncommon,True,True,0.09,,0.03
Full Throttle,dft,127,rare,True,True,2.66,,0.016667
Gallant Strike,dft,13,uncommon,True,True,0.05,,0.03
Gas Guzzler,dft,85,rare,True,True,0.22,,0.016667
Gastal Blockbuster,dft,128,common,True,True,0.02,,0.104167
Gastal Raider,dft,86,uncommon,True,True,0.02,,0.03
Gastal Thrillroller,dft,129,rare,True,True,0.08,,0.016667
Gastal Thrillseeker,dft,205,uncommon,True,True,0.07,,0.03
Gearseeker Serpent,dft,43,common,True,True,0.01,,0.104167
Gilded Ghoda,dft,130,common,True,True,0.02,,0.104167
Glitch Ghost Surveyor,dft,44,common,True,True,0.01,,0.104167
Gloryheath Lynx,dft,14,uncommon,True,True,0.09,,0.03
Goblin Surveyor,dft,131,common,True,True,0.02,,0.104167
"Gonti, Night Minister",dft,87,rare,True,True,0.50,legendary,0.016667
Greasewrench Goblin,dft,132,uncommon,True,True,0.09,,0.03
Greenbelt Guardian,dft,164,uncommon,True,True,0.06,,0.03
Grim Bauble,dft,88,common,True,True,0.11,,0.104167
Grim Javelineer,dft,89,common,True,True,0.02,,0.104167
Guardian Sunmare,dft,15,rare,True,True,0.28,,0.016667
Guidelight Matrix,dft,233,common,True,True,0.03,,0.104167
Guidelight Optimizer,dft,45,common,True,True,0.03,,0.104167
Guidelight Pathmaker,dft,206,uncommon,True,True,0.05,,0.03
Guidelight Synergist,dft,16,uncommon,True,True,0.05,,0.03
Haunted Hellride,dft,208,uncommon,True,True,0.09,,0.03
Haunt the Network,dft,207,uncommon,True,True,0.07,,0.03
Hazard of the Dunes,dft,165,common,True,True,0.08,,0.104167
"Hazoret, Godseeker",dft,133,mythic,True,True,0.96,legendary,0.008333
Hellish Sideswipe,dft,90,uncommon,True,True,0.08,,0.03
Hour of Victory,dft,91,uncommon,True,True,0.08,enchantment,0.03
Howler's Heavy,dft,46,common,True,True,0.02,,0.104167
Howlsquad Heavy,dft,134,rare,True,True,1.16,,0.016667
Hulldrifter,dft,47,common,True,True,0.02,,0.104167
Interface Ace,dft,17,common,True,True,0.03,,0.104167
Intimidation Tactics,dft,92,uncommon,True,True,0.09,,0.03
Island,dft,280,common,True,True,0.07,,0.104167
Jibbirik Omnivore,dft,166,common,True,True,0.03,,0.104167
Jungle Hollow,dft,256,common,True,True,0.05,,0.104167
"Kalakscion, Hunger Tyrant",dft,93,uncommon,True,True,0.13,legendary,0.03
Keen Buccaneer,dft,48,common,True,True,0.02,,0.104167
"Ketramose, the New Dawn",dft,209,mythic,True,True,15.09,legendary,0.008333
Kickoff Celebrations,dft,135,common,True,True,0.03,enchantment,0.104167
"Kolodin, Triumph Caster",dft,210,rare,True,True,0.18,legendary,0.016667
"Lagorin, Soul of Alacria",dft,211,uncommon,True,True,0.07,legendary,0.03
Leonin Surveyor,dft,18,common,True,True,0.01,,0.104167
Lifecraft Engine,dft,234,rare,True,True,0.23,,0.016667
Lightning Strike,dft,136,common,True,True,0.06,,0.104167
Lightshield Parry,dft,19,common,True,True,0.04,,0.104167
Lightwheel Enhancements,dft,20,common,True,True,0.03,enchantment,0.104167
Locust Spray,dft,95,uncommon,True,True,0.03,,0.03
