Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
Abrade,fdn,188,uncommon,True,True,0.16,,0.016667
Abyssal Harvester,fdn,54,rare,True,True,1.15,,0.007752
Adamant Will,fdn,488,common,False,True,0.29,,0.057471
Adaptive Automaton,fdn,723,rare,True,False,,,0.007752
Adventuring Gear,fdn,249,uncommon,True,True,0.03,,0.016667
Aegis Turtle,fdn,150,common,True,True,0.04,,0.057471
Aetherize,fdn,151,uncommon,True,True,0.32,,0.016667
Affectionate Indrik,fdn,211,uncommon,True,True,0.02,,0.016667
Aggressive Mammoth,fdn,551,rare,False,True,0.55,,0.007752
"Ajani, Caller of the Pride",fdn,134,mythic,True,True,1.23,,0.004902
Ajani's Pridemate,fdn,135,uncommon,True,True,0.13,,0.016667
"Alesha, Who Laughs at Fate",fdn,115,rare,True,True,1.16,legendary,0.007752
Ambush Wolf,fdn,98,common,True,True,0.05,,0.057471
Ancestor Dragon,fdn,489,rare,False,True,0.92,,0.007752
Angelic Destiny,fdn,565,mythic,False,True,1.93,enchantment,0.004902
Angelic Edict,fdn,490,common,False,True,0.38,,0.057471
Angel of Finality,fdn,136,uncommon,True,True,0.13,,0.016667
Angel of Vitality,fdn,706,uncommon,True,False,,,0.016667
An Offer You Can't Refuse,fdn,160,uncommon,True,True,1.21,,0.016667
Anthem of Champions,fdn,116,rare,True,True,0.31,enchantment,0.007752
Apothecary Stomper,fdn,99,common,True,True,0.02,,0.057471
"Arahbo, the First Fang",fdn,2,rare,True,True,1.12,legendary,0.007752
Arbiter of Woe,fdn,55,uncommon,True,True,0.08,,0.016667
Arcane Epiphany,fdn,29,uncommon,True,True,0.07,,0.016667
Arcanis the Omnipotent,fdn,585,rare,False,True,0.26,legendary,0.007752
Archmage of Runes,fdn,30,rare,True,True,2.76,,0.007752
Archway Angel,fdn,566,uncommon,False,True,0.11,,0.016667
Armasaur Guide,fdn,3,common,True,True,0.02,,0.057471
Ashroot Animist,fdn,117,rare,True,True,0.20,,0.007752
"Aurelia, the Warleader",fdn,651,mythic,False,True,6.10,legendary,0.004902
Authority of the Consuls,fdn,137,rare,True,True,5.49,enchantment,0.007752
Axgard Cavalry,fdn,189,common,True,True,0.02,,0.057471
"Ayli, Eternal Pilgrim",fdn,652,rare,False,True,0.37,legendary,0.007752
Azorius Guildgate,fdn,683,common,False,True,0.13,,0.057471
Bake into a Pie,fdn,169,common,True,True,0.05,,0.057471
Ball Lightning,fdn,618,rare,False,True,0.42,,0.007752
Ballyrush Banneret,fdn,567,common,False,True,0.21,,0.057471
"Balmor, Battlemage Captain",fdn,237,uncommon,True,True,0.14,legendary,0.016667
Banishing Light,fdn,138,common,True,True,0.04,enchantment,0.057471
Banner of Kinship,fdn,127,rare,True,True,6.73,,0.007752
Basilisk Collar,fdn,669,rare,False,True,3.97,,0.007752
Battle-Rattle Shaman,fdn,533,uncommon,False,True,0.20,,0.016667
Battlesong Berserker,fdn,78,uncommon,True,True,0.04,,0.016667
Bear Cub,fdn,552,common,False,True,0.55,,0.057471
Beast-Kin Ranger,fdn,100,common,True,True,0.03,,0.057471
Bigfin Bouncer,fdn,31,common,True,True,0.05,,0.057471
Billowing Shriekmass,fdn,56,uncommon,True,True,0.03,,0.016667
Biogenic Upgrade,fdn,553,uncommon,False,True,0.92,,0.016667
Bishop's Soldier,fdn,491,common,False,True,0.28,,0.057471
Bite Down,fdn,212,common,True,True,0.03,,0.057471
Blanchwood Armor,fdn,213,uncommon,True,True,0.09,enchantment,0.016667
Blasphemous Edict,fdn,57,rare,True,True,6.40,,0.007752
Bloodfell Caves,fdn,259,common,True,True,0.05,,0.057471
Bloodthirsty Conqueror,fdn,58,mythic,True,True,37.45,,0.004902
Bloodtithe Collector,fdn,516,uncommon,False,True,0.27,,0.016667
Blossoming Sands,fdn,260,common,True,True,0.06,,0.057471
Bolt Bend,fdn,619,uncommon,False,True,7.28,,0.016667
Boltwave,fdn,79,uncommon,True,True,4.44,,0.016667
Boros Charm,fdn,721,uncommon,True,False,,,0.016667
Boros Guildgate,fdn,684,common,False,True,0.15,,0.057471
Brass's Bounty,fdn,190,rare,True,True,0.26,,0.007752
Brazen Scourge,fdn,191,uncommon,True,True,0.02,,0.016667
Brineborn Cutthroat,fdn,152,uncommon,True,True,0.04,,0.016667
Broken Wings,fdn,214,common,True,True,0.03,,0.057471
Bulk Up,fdn,80,uncommon,True,True,0.47,,0.016667
Burglar Rat,fdn,170,common,True,True,0.04,,0.057471
Burnished Hart,fdn,250,uncommon,True,True,0.10,,0.016667
Burrog Befuddler,fdn,504,common,False,True,0.21,,0.057471
Burst Lightning,fdn,192,common,True,True,0.09,,0.057471
Bushwhack,fdn,215,common,True,True,0.14,,0.057471
Cackling Prowler,fdn,101,common,True,True,0.03,,0.057471
Campus Guide,fdn,251,common,True,True,0.04,,0.057471
Cancel,fdn,505,common,False,True,0.29,,0.057471
Carnelian Orb of Dragonkind,fdn,534,common,False,True,1.86,,0.057471
Cat Collector,fdn,4,uncommon,True,True,0.15,,0.016667
Cathar Commando,fdn,139,common,True,True,0.05,,0.057471
Celestial Armor,fdn,5,rare,True,True,0.57,,0.007752
