Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
Aberrant Researcher // Perfected Form,inr,52,uncommon,True,True,0.03,,0.028846
Abrade,inr,139,common,True,True,0.10,,0.106383
Abundant Growth,inr,184,common,True,True,0.13,enchantment,0.106383
Abundant Maw,inr,1,common,True,True,0.04,,0.106383
Aim High,inr,185,common,True,True,0.04,,0.106383
Alchemist's Greeting,inr,140,common,True,True,0.02,,0.106383
Altered Ego,inr,228,rare,True,True,0.22,,0.013699
Ambitious Farmhand // Seasoned Cathar,inr,8,uncommon,True,True,0.08,,0.028846
Ambush Viper,inr,186,common,True,True,0.03,,0.106383
Ancestral Anger,inr,141,common,True,True,0.03,,0.106383
Angelfire Ignition,inr,229,rare,True,True,0.26,,0.013699
Angelic Purge,inr,9,common,True,True,0.04,,0.106383
Angel's Tomb,inr,253,uncommon,True,True,0.04,,0.028846
Apothecary Geist,inr,10,common,True,True,0.04,,0.106383
"Archangel Avacyn // Avacyn, the Purifier",inr,11,mythic,True,True,1.67,legendary,0.005747
Archghoul of Thraben,inr,95,uncommon,True,True,0.13,,0.028846
"Arlinn Kord // Arlinn, Embraced by the Moon",inr,230,mythic,True,True,0.83,,0.005747
Asylum Visitor,inr,96,uncommon,True,True,0.08,,0.028846
"Avacyn, Angel of Hope",inr,477,mythic,True,True,23.41,,0.005747
Avacynian Priest,inr,12,common,True,True,0.02,,0.106383
Balefire Dragon,inr,479,mythic,True,True,9.44,,0.005747
Battleground Geist,inr,53,common,True,True,0.06,,0.106383
Bedlam Reveler,inr,142,rare,True,True,0.15,,0.013699
Biolume Egg // Biolume Serpent,inr,54,uncommon,True,True,0.02,,0.028846
Bladestitched Skaab,inr,231,uncommon,True,True,0.08,,0.028846
Blazing Torch,inr,254,common,True,True,0.01,,0.106383
Blood Artist,inr,97,uncommon,True,True,1.18,,0.028846
Bloodhall Priest,inr,232,rare,True,True,0.14,,0.013699
Bloodline Keeper // Lord of Lineage,inr,98,mythic,True,True,7.69,,0.005747
Bloodmad Vampire,inr,145,common,True,True,0.04,,0.106383
Blood Mist,inr,143,uncommon,True,True,0.09,enchantment,0.028846
Blood Petal Celebrant,inr,144,common,True,True,0.05,,0.106383
Bloodtithe Harvester,inr,233,uncommon,True,True,0.08,,0.028846
Boarded Window,inr,255,uncommon,True,True,0.02,,0.028846
Borrowed Hostility,inr,146,common,True,True,0.02,,0.106383
Bound by Moonsilver,inr,13,common,True,True,0.02,enchantment,0.106383
Bramble Wurm,inr,187,common,True,True,0.04,,0.106383
"Brisela, Voice of Nightmares",inr,14b,mythic,True,True,,legendary,0.005747
"Bruna, the Fading Light",inr,14a,rare,True,True,1.84,legendary,0.013699
Burning Vengeance,inr,147,uncommon,True,True,0.03,enchantment,0.028846
Butcher Ghoul,inr,99,common,True,True,0.03,,0.106383
Butcher's Cleaver,inr,256,uncommon,True,True,0.03,,0.028846
Cackling Counterpart,inr,55,uncommon,True,True,0.11,,0.028846
Captivating Vampire,inr,100,rare,True,True,2.01,,0.013699
Cathar Commando,inr,15,common,True,True,0.07,,0.106383
Cathar's Call,inr,16,uncommon,True,True,0.05,enchantment,0.028846
Cathars' Crusade,inr,17,rare,True,True,4.74,enchantment,0.013699
Chalice of Life // Chalice of Death,inr,257,uncommon,True,True,0.11,,0.028846
"Chandra, Dressed to Kill",inr,148,mythic,True,True,1.45,,0.005747
Chittering Host,inr,123b,common,True,True,,,0.106383
Clear Shot,inr,188,uncommon,True,True,0.02,,0.028846
Cobbled Lancer,inr,56,uncommon,True,True,0.02,,0.028846
Cobbled Wings,inr,258,common,True,True,0.03,,0.106383
Collective Brutality,inr,101,rare,True,True,0.19,,0.013699
Collective Defiance,inr,149,rare,True,True,0.97,,0.013699
Compelling Deterrence,inr,57,uncommon,True,True,0.02,,0.028846
Conduit of Storms // Conduit of Emrakul,inr,150,common,True,True,0.02,,0.106383
Conjurer's Closet,inr,259,rare,True,True,2.86,,0.013699
Covetous Castaway // Ghostly Castigator,inr,58,uncommon,True,True,0.04,,0.028846
Craterhoof Behemoth,inr,480,mythic,True,True,18.09,,0.005747
Crawl from the Cellar,inr,102,common,True,True,0.03,,0.106383
Crusader of Odric,inr,18,common,True,True,0.04,,0.106383
Cryptolith Fragment // Aurora of Emrakul,inr,260,uncommon,True,True,0.09,,0.028846
Cryptolith Rite,inr,189,rare,True,True,2.51,enchantment,0.013699
Cultivator Colossus,inr,190,mythic,True,True,4.15,,0.005747
Dauntless Cathar,inr,19,common,True,True,0.04,,0.106383
Dawnhart Disciple,inr,191,common,True,True,0.03,,0.106383
Deadeye Navigator,inr,59,rare,True,True,2.46,,0.013699
Deadly Allure,inr,103,uncommon,True,True,0.05,,0.028846
Deathcap Glade,inr,275,rare,True,True,5.68,,0.013699
Decimator of the Provinces,inr,2,rare,True,True,0.38,,0.013699
Delver of Secrets // Insectile Aberration,inr,60,common,True,True,0.10,,0.106383
Demonic Taskmaster,inr,104,uncommon,True,True,0.06,,0.028846
Demonmail Hauberk,inr,261,uncommon,True,True,0.06,,0.028846
Deranged Assistant,inr,61,common,True,True,0.02,,0.106383
Deserted Beach,inr,276,rare,True,True,2.32,,0.013699
Desperate Farmer // Depraved Harvester,inr,105,common,True,True,0.02,,0.106383
Distended Mindbender,inr,3,rare,True,True,0.12,,0.013699
Docent of Perfection // Final Iteration,inr,62,rare,True,True,0.29,,0.013699
Dreamroot Cascade,inr,277,rare,True,True,1.36,,0.013699
Drogskol Shieldmate,inr,20,common,True,True,0.05,,0.106383
Drunau Corpse Trawler,inr,63,uncommon,True,True,0.05,,0.028846
Duel for Dominance,inr,192,common,True,True,0.01,,0.106383
Duskwatch Recruiter // Krallenhorde Howler,inr,193,uncommon,True,True,0.11,,0.028846
Eaten Alive,inr,106,common,True,True,0.05,,0.106383
Eccentric Farmer,inr,194,common,True,True,0.02,,0.106383
