dateRange,averagePrice,quantity
12/26 to 1/1,$0.70,0.60
12/27 to 1/2,$0.90,0.80
12/28 to 1/3,$1.41,1.31
12/29 to 1/4,$1.55,1.55
12/30 to 1/5,$1.55,1.45
12/31 to 1/6,$1.55,1.55
1/1 to 1/7,$1.66,1.66
1/2 to 1/8,$2.90,2.60
1/3 to 1/9,$1.87,1.77
1/4 to 1/10,$1.88,1.78
1/5 to 1/11,$2.30,2.20
1/6 to 1/12,$2.10,1.90
1/7 to 1/13,$1.55,1.25
1/8 to 1/14,$1.44,1.14
1/9 to 1/15,$1.33,1.13
1/10 to 1/16,$1.32,1.12
1/11 to 1/17,$1.45,1.25
1/12 to 1/18,$1.41,1.21
1/13 to 1/19,$1.55,1.45
1/14 to 1/20,$1.55,1.45
1/15 to 1/21,$1.55,1.45
1/16 to 1/22,$2.66,2.46
1/17 to 1/23,$2.90,2.80
1/18 to 1/24,$2.87,2.67
1/19 to 1/25,$2.88,2.68
1/20 to 1/26,$3.30,3.10
1/21 to 1/27,$3.10,2.90
1/22 to 1/28,$2.55,2.35
1/23 to 1/29,$3.44,3.24
1/24 to 1/30,$3.33,3.13
