Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
Abandoned Campground,dsk,255,common,True,True,0.07,,0.104167
Abhorrent Oculus,dsk,42,mythic,True,True,17.59,,0.0125
Acrobatic Cheerleader,dsk,1,common,True,True,0.01,,0.104167
A-Leyline of Resonance,dsk,A-143,rare,False,True,,,0.032787
"Altanak, the Thrice-Called",dsk,166,uncommon,True,True,0.14,legendary,0.03
Anthropede,dsk,167,common,True,True,0.02,,0.104167
Appendage Amalgam,dsk,83,common,True,True,0.03,enchantment,0.104167
"Arabella, Abandoned Doll",dsk,208,uncommon,True,True,0.28,legendary,0.03
Attack-in-the-Box,dsk,242,uncommon,True,True,0.04,,0.03
Balemurk Leech,dsk,84,common,True,True,0.02,,0.104167
Balustrade Wurm,dsk,168,rare,True,True,0.14,,0.032787
Baseball Bat,dsk,209,uncommon,True,True,0.03,,0.03
Bashful Beastie,dsk,169,common,True,True,0.02,,0.104167
Bear Trap,dsk,243,common,True,True,0.04,,0.104167
Beastie Beatdown,dsk,210,uncommon,True,True,0.05,,0.03
Bedhead Beastie,dsk,125,common,True,True,0.01,,0.104167
Betrayer's Bargain,dsk,126,uncommon,True,True,0.02,,0.03
Blazemire Verge,dsk,256,rare,True,True,7.34,,0.032787
Bleeding Woods,dsk,257,common,True,True,0.08,,0.104167
Boilerbilges Ripper,dsk,127,common,True,True,0.01,,0.104167
Bottomless Pool // Locker Room,dsk,43,uncommon,True,True,0.10,,0.03
Break Down the Door,dsk,170,uncommon,True,True,0.08,,0.03
Broodspinner,dsk,211,uncommon,True,True,0.09,,0.03
Cackling Slasher,dsk,85,common,True,True,0.02,,0.104167
Cathartic Parting,dsk,171,uncommon,True,True,0.05,,0.03
Cautious Survivor,dsk,172,common,True,True,0.04,,0.104167
Central Elevator // Promising Stairs,dsk,44,rare,True,True,0.16,,0.032787
Chainsaw,dsk,128,rare,True,True,0.47,,0.032787
Charred Foyer // Warped Space,dsk,129,mythic,True,True,1.25,,0.0125
Clammy Prowler,dsk,45,common,True,True,0.02,enchantment,0.104167
Clockwork Percussionist,dsk,130,common,True,True,0.07,,0.104167
Come Back Wrong,dsk,86,rare,True,True,0.30,,0.032787
Commune with Evil,dsk,87,uncommon,True,True,0.05,,0.03
Conductive Machete,dsk,244,uncommon,True,True,0.02,,0.03
Coordinated Clobbering,dsk,173,uncommon,True,True,0.02,,0.03
Cracked Skull,dsk,88,common,True,True,0.01,,0.104167
Creeping Peeper,dsk,46,common,True,True,0.02,,0.104167
Cryptid Inspector,dsk,174,common,True,True,0.04,,0.104167
Cult Healer,dsk,2,common,True,True,0.01,,0.104167
Cursed Recording,dsk,131,rare,True,True,0.18,,0.032787
Cursed Windbreaker,dsk,47,uncommon,True,True,0.03,,0.03
Cynical Loner,dsk,89,uncommon,True,True,0.13,,0.03
Daggermaw Megalodon,dsk,48,common,True,True,0.05,,0.104167
Dashing Bloodsucker,dsk,90,uncommon,True,True,0.02,,0.03
Dazzling Theater // Prop Room,dsk,3,rare,True,True,1.15,,0.032787
Defiant Survivor,dsk,175,uncommon,True,True,0.07,,0.03
Defiled Crypt // Cadaver Lab,dsk,91,uncommon,True,True,0.13,,0.03
Demonic Counsel,dsk,92,rare,True,True,1.28,,0.032787
Derelict Attic // Widow's Walk,dsk,93,common,True,True,0.04,,0.104167
Dissection Tools,dsk,245,rare,True,True,0.23,,0.032787
Disturbing Mirth,dsk,212,uncommon,True,True,0.09,,0.03
Diversion Specialist,dsk,132,uncommon,True,True,0.03,,0.03
Dollmaker's Shop // Porcelain Gallery,dsk,4,mythic,True,True,4.61,,0.0125
Don't Make a Sound,dsk,49,common,True,True,0.04,,0.104167
Doomsday Excruciator,dsk,94,rare,True,True,0.42,,0.032787
Drag to the Roots,dsk,213,uncommon,True,True,0.14,,0.03
Duskmourn's Domination,dsk,50,uncommon,True,True,0.02,,0.03
Emerge from the Cocoon,dsk,5,common,True,True,0.02,,0.104167
Enduring Courage,dsk,133,rare,True,True,2.18,enchantment,0.032787
Enduring Curiosity,dsk,51,rare,True,True,4.35,enchantment,0.032787
Enduring Innocence,dsk,6,rare,True,True,4.80,enchantment,0.032787
Enduring Tenacity,dsk,95,rare,True,True,3.46,enchantment,0.032787
Enduring Vitality,dsk,176,rare,True,True,4.43,enchantment,0.032787
Enter the Enigma,dsk,52,common,True,True,0.15,,0.104167
Entity Tracker,dsk,53,rare,True,True,1.17,,0.032787
Erratic Apparition,dsk,54,common,True,True,0.02,,0.104167
Etched Cornfield,dsk,258,common,True,True,0.07,,0.104167
Ethereal Armor,dsk,7,uncommon,True,True,0.27,,0.03
Exorcise,dsk,8,uncommon,True,True,0.27,,0.03
Fanatic of the Harrowing,dsk,96,common,True,True,0.04,,0.104167
Fear of Abduction,dsk,9,uncommon,True,True,0.06,enchantment,0.03
Fear of Being Hunted,dsk,134,uncommon,True,True,0.03,enchantment,0.03
Fear of Burning Alive,dsk,135,uncommon,True,True,0.06,enchantment,0.03
Fear of Exposure,dsk,177,uncommon,True,True,0.04,enchantment,0.03
Fear of Failed Tests,dsk,55,uncommon,True,True,0.04,enchantment,0.03
Fear of Falling,dsk,56,uncommon,True,True,0.02,enchantment,0.03
Fear of Immobility,dsk,10,common,True,True,0.02,enchantment,0.104167
Fear of Impostors,dsk,57,uncommon,True,True,0.12,enchantment,0.03
Fear of Infinity,dsk,214,uncommon,True,True,0.05,enchantment,0.03
Fear of Isolation,dsk,58,uncommon,True,True,0.31,enchantment,0.03
Fear of Lost Teeth,dsk,97,common,True,True,0.04,enchantment,0.104167
Fear of Missing Out,dsk,136,rare,True,True,4.89,enchantment,0.032787
Fear of Surveillance,dsk,11,common,True,True,0.03,enchantment,0.104167
Fear of the Dark,dsk,98,common,True,True,0.02,enchantment,0.104167
Final Vengeance,dsk,99,common,True,True,0.05,,0.104167
Flesh Burrower,dsk,178,common,True,True,0.03,,0.104167
Floodfarm Verge,dsk,259,rare,True,True,9.03,,0.032787
Floodpits Drowner,dsk,59,uncommon,True,True,0.34,,0.03
Forest,dsk,285,common,True,True,0.06,,0.104167
Found Footage,dsk,246,common,True,True,0.02,,0.104167
Frantic Strength,dsk,179,common,True,True,0.05,,0.104167
Friendly Ghost,dsk,12,common,True,True,0.03,,0.104167
Friendly Teddy,dsk,247,common,True,True,0.03,,0.104167
Funeral Room // Awakening Hall,dsk,100,mythic,True,True,4.07,,0.0125
Get Out,dsk,60,uncommon,True,True,0.16,,0.03
Ghostly Dancers,dsk,13,rare,True,True,0.31,,0.032787
Ghostly Keybearer,dsk,61,uncommon,True,True,0.05,,0.03
Ghost Vacuum,dsk,248,rare,True,True,5.00,,0.032787
Give In to Violence,dsk,101,common,True,True,0.03,,0.104167
Glassworks // Shattered Yard,dsk,137,common,True,True,0.04,,0.104167
Glimmerburst,dsk,62,common,True,True,0.02,,0.104167
Glimmerlight,dsk,249,common,True,True,0.03,,0.104167
Glimmer Seeker,dsk,14,uncommon,True,True,0.03,,0.03
Gloomlake Verge,dsk,260,rare,True,True,10.98,,0.032787
Grab the Prize,dsk,138,common,True,True,0.16,,0.104167
Grand Entryway // Elegant Rotunda,dsk,15,common,True,True,0.03,,0.104167
Grasping Longneck,dsk,180,common,True,True,0.02,enchantment,0.104167
Greenhouse // Rickety Gazebo,dsk,181,uncommon,True,True,0.10,,0.03
Gremlin Tamer,dsk,215,uncommon,True,True,0.09,,0.03
Grievous Wound,dsk,102,rare,True,True,0.41,,0.032787
Growing Dread,dsk,216,uncommon,True,True,0.05,,0.03
Hand That Feeds,dsk,139,common,True,True,0.02,,0.104167
Hardened Escort,dsk,16,common,True,True,0.02,,0.104167
Haunted Screen,dsk,250,uncommon,True,True,0.07,,0.03
Hauntwoods Shrieker,dsk,182,mythic,True,True,1.68,,0.0125
Hedge Shredder,dsk,183,rare,True,True,3.87,,0.032787
Horrid Vigor,dsk,184,common,True,True,0.03,,0.104167
House Cartographer,dsk,185,uncommon,True,True,0.05,,0.03
Hushwood Verge,dsk,261,rare,True,True,6.08,,0.032787
Impossible Inferno,dsk,140,common,True,True,0.04,,0.104167
Infernal Phantom,dsk,141,uncommon,True,True,0.02,,0.03
Innocuous Rat,dsk,103,common,True,True,0.04,,0.104167
Inquisitive Glimmer,dsk,217,uncommon,True,True,0.22,enchantment,0.03
Insidious Fungus,dsk,186,uncommon,True,True,0.34,,0.03
Intruding Soulrager,dsk,218,uncommon,True,True,0.03,,0.03
Irreverent Gremlin,dsk,142,uncommon,True,True,0.04,,0.03
Island,dsk,279,common,True,True,0.06,,0.104167
Jump Scare,dsk,17,common,True,True,0.03,,0.104167
"Kaito, Bane of Nightmares",dsk,220,mythic,True,True,19.14,,0.0125
Keys to the House,dsk,251,uncommon,True,True,0.04,,0.03
Killer's Mask,dsk,104,uncommon,True,True,0.04,,0.03
"Kona, Rescue Beastie",dsk,187,rare,True,True,0.82,legendary,0.032787
Lakeside Shack,dsk,262,common,True,True,0.07,,0.104167
Let's Play a Game,dsk,105,uncommon,True,True,0.05,,0.03
Leyline of Hope,dsk,18,rare,True,True,0.31,,0.032787
Leyline of Mutation,dsk,188,rare,True,True,0.20,,0.032787
Leyline of Resonance,dsk,143,rare,True,True,0.62,,0.032787
Leyline of the Void,dsk,106,rare,True,True,0.77,,0.032787
Leyline of Transformation,dsk,63,rare,True,True,0.38,,0.032787
Lionheart Glimmer,dsk,19,uncommon,True,True,0.07,enchantment,0.03
Live or Die,dsk,107,uncommon,True,True,0.06,,0.03
Living Phone,dsk,20,common,True,True,0.01,,0.104167
Malevolent Chandelier,dsk,252,common,True,True,0.02,,0.104167
Manifest Dread,dsk,189,common,True,True,0.03,,0.104167
Marina Vendrell,dsk,221,rare,True,True,0.19,legendary,0.032787
Marina Vendrell's Grimoire,dsk,64,rare,True,True,0.20,legendary,0.032787
"Marvin, Murderous Mimic",dsk,253,rare,True,True,1.82,legendary,0.032787
Meathook Massacre II,dsk,108,mythic,True,True,2.33,legendary,0.0125
Meat Locker // Drowned Diner,dsk,65,common,True,True,0.02,,0.104167
Miasma Demon,dsk,109,uncommon,True,True,0.04,,0.03
Midnight Mayhem,dsk,222,uncommon,True,True,0.03,,0.03
Mirror Room // Fractured Realm,dsk,67,mythic,True,True,1.98,,0.0125
Moldering Gym // Weight Room,dsk,190,common,True,True,0.05,,0.104167
Monstrous Emergence,dsk,191,common,True,True,0.05,,0.104167
Most Valuable Slayer,dsk,144,common,True,True,0.02,,0.104167
Mountain,dsk,283,common,True,True,0.07,,0.104167
Murder,dsk,110,common,True,True,0.03,,0.104167
Murky Sewer,dsk,263,common,True,True,0.09,,0.104167
"Nashi, Searcher in the Dark",dsk,223,rare,True,True,0.16,legendary,0.032787
Neglected Manor,dsk,264,common,True,True,0.11,,0.104167
"Niko, Light of Hope",dsk,224,mythic,True,True,0.33,legendary,0.0125
"Norin, Swift Survivalist",dsk,145,uncommon,True,True,0.09,legendary,0.03
Nowhere to Run,dsk,111,uncommon,True,True,1.56,,0.03
Oblivious Bookworm,dsk,225,uncommon,True,True,0.05,,0.03
Omnivorous Flytrap,dsk,192,rare,True,True,0.17,,0.032787
Optimistic Scavenger,dsk,21,uncommon,True,True,0.23,,0.03
Orphans of the Wheat,dsk,22,uncommon,True,True,0.03,,0.03
Osseous Sticktwister,dsk,112,uncommon,True,True,0.10,,0.03
Overgrown Zealot,dsk,193,uncommon,True,True,0.09,,0.03
Overlord of the Balemurk,dsk,113,mythic,True,True,26.91,enchantment,0.0125
Overlord of the Boilerbilges,dsk,146,mythic,True,True,1.63,enchantment,0.0125
Overlord of the Floodpits,dsk,68,mythic,True,True,4.04,enchantment,0.0125
Overlord of the Hauntwoods,dsk,194,mythic,True,True,16.11,enchantment,0.0125
Overlord of the Mistmoors,dsk,23,mythic,True,True,7.58,enchantment,0.0125
Painter's Studio // Defaced Gallery,dsk,147,uncommon,True,True,0.09,,0.03
Paranormal Analyst,dsk,69,uncommon,True,True,0.10,,0.03
Patched Plaything,dsk,24,uncommon,True,True,0.04,,0.03
Patchwork Beastie,dsk,195,uncommon,True,True,0.12,,0.03
Peculiar Lighthouse,dsk,265,common,True,True,0.08,,0.104167
Peer Past the Veil,dsk,226,rare,True,True,0.09,,0.032787
Piggy Bank,dsk,148,uncommon,True,True,0.06,,0.03
Piranha Fly,dsk,70,common,True,True,0.02,,0.104167
Plains,dsk,277,common,True,True,0.09,,0.104167
Popular Egotist,dsk,114,uncommon,True,True,0.04,,0.03
Possessed Goat,dsk,25,common,True,True,0.02,,0.104167
Pyroclasm,dsk,149,uncommon,True,True,0.21,,0.03
Ragged Playmate,dsk,150,common,True,True,0.05,,0.104167
Rampaging Soulrager,dsk,151,common,True,True,0.02,,0.104167
Raucous Carnival,dsk,266,common,True,True,0.08,,0.104167
Razorkin Hordecaller,dsk,152,uncommon,True,True,0.03,,0.03
Razorkin Needlehead,dsk,153,rare,True,True,3.54,,0.032787
Razortrap Gorge,dsk,267,common,True,True,0.09,,0.104167
Reluctant Role Model,dsk,26,rare,True,True,0.34,,0.032787
Restricted Office // Lecture Hall,dsk,227,rare,True,True,0.18,,0.032787
Resurrected Cultist,dsk,115,common,True,True,0.03,,0.104167
Ripchain Razorkin,dsk,154,common,True,True,0.01,,0.104167
"Rip, Spawn Hunter",dsk,228,rare,True,True,0.16,legendary,0.032787
Rite of the Moth,dsk,229,uncommon,True,True,0.10,,0.03
Roaring Furnace // Steaming Sauna,dsk,230,rare,True,True,0.23,,0.032787
Rootwise Survivor,dsk,196,uncommon,True,True,0.02,,0.03
Savior of the Small,dsk,27,uncommon,True,True,0.03,,0.03
Saw,dsk,254,uncommon,True,True,0.04,,0.03
Sawblade Skinripper,dsk,231,uncommon,True,True,0.10,,0.03
Say Its Name,dsk,197,common,True,True,0.03,,0.104167
Scorching Dragonfire,dsk,156,common,True,True,0.06,,0.104167
Scrabbling Skullcrab,dsk,71,uncommon,True,True,0.04,,0.03
Screaming Nemesis,dsk,157,mythic,True,True,21.10,,0.0125
Seized from Slumber,dsk,28,common,True,True,0.03,,0.104167
Shardmage's Rescue,dsk,29,uncommon,True,True,0.18,,0.03
Sheltered by Ghosts,dsk,30,uncommon,True,True,3.14,,0.03
Shepherding Spirits,dsk,31,common,True,True,0.01,,0.104167
Shrewd Storyteller,dsk,232,uncommon,True,True,0.04,,0.03
Shroudstomper,dsk,233,uncommon,True,True,0.07,,0.03
Silent Hallcreeper,dsk,72,rare,True,True,1.79,enchantment,0.032787
Skullsnap Nuisance,dsk,234,uncommon,True,True,0.03,,0.03
Slavering Branchsnapper,dsk,198,common,True,True,0.03,,0.104167
Smoky Lounge // Misty Salon,dsk,235,uncommon,True,True,0.05,,0.03
Spectral Snatcher,dsk,116,common,True,True,0.02,,0.104167
Spineseeker Centipede,dsk,199,common,True,True,0.01,,0.104167
Splitskin Doll,dsk,33,uncommon,True,True,0.11,,0.03
Split Up,dsk,32,rare,True,True,2.33,,0.032787
Sporogenic Infection,dsk,117,uncommon,True,True,0.08,,0.03
Stalked Researcher,dsk,73,common,True,True,0.02,,0.104167
"Stay Hidden, Stay Silent",dsk,74,uncommon,True,True,0.02,,0.03
Strangled Cemetery,dsk,268,common,True,True,0.09,,0.104167
Surgical Suite // Hospital Room,dsk,34,uncommon,True,True,0.09,,0.03
Swamp,dsk,281,common,True,True,0.07,,0.104167
Terramorphic Expanse,dsk,269,common,True,True,0.07,,0.104167
The Jolly Balloon Man,dsk,219,rare,True,True,0.63,legendary,0.032787
The Mindskinner,dsk,66,rare,True,True,1.60,"legendary,enchantment",0.032787
The Rollercrusher Ride,dsk,155,mythic,True,True,0.63,legendary,0.0125
The Swarmweaver,dsk,236,rare,True,True,0.23,legendary,0.032787
The Tale of Tamiyo,dsk,75,rare,True,True,0.19,legendary,0.032787
The Wandering Rescuer,dsk,41,mythic,True,True,1.21,legendary,0.0125
Thornspire Verge,dsk,270,rare,True,True,7.72,,0.032787
Threats Around Every Corner,dsk,200,uncommon,True,True,0.15,,0.03
Ticket Booth // Tunnel of Hate,dsk,158,common,True,True,0.03,,0.104167
"Toby, Beastie Befriender",dsk,35,rare,True,True,0.26,legendary,0.032787
Trapped in the Screen,dsk,36,common,True,True,0.05,,0.104167
Trial of Agony,dsk,159,uncommon,True,True,0.04,,0.03
Tunnel Surveyor,dsk,76,common,True,True,0.02,,0.104167
Turn Inside Out,dsk,160,common,True,True,0.05,,0.104167
Twist Reality,dsk,77,common,True,True,0.02,,0.104167
Twitching Doll,dsk,201,rare,True,True,0.81,,0.032787
