date,condition,quantity,price
5/3/25,"NM Holofoil
Near Mint Holofoil",1,10.94
4/28/25,"NM Holofoil
Near Mint Holofoil",1,10.39
4/20/25,"NM Holofoil
Near Mint Holofoil",1,10.76
3/29/25,"NM Holofoil
Near Mint Holofoil",1,11.49
3/28/25,"NM Holofoil
Near Mint Holofoil",1,11.49
3/25/25,"NM Holofoil
Near Mint Holofoil",1,11.49
3/21/25,"NM Holofoil
Near Mint Holofoil",1,9.71
3/18/25,"NM Holofoil
Near Mint Holofoil",1,14.49
3/11/25,"NM Holofoil
Near Mint Holofoil",1,11.25
3/4/25,"NM Holofoil
Near Mint Holofoil",1,9.42
3/2/25,"NM Holofoil
Near Mint Holofoil",1,11.37
2/23/25,"NM Holofoil
Near Mint Holofoil",1,9.66
2/17/25,"NM Holofoil
Near Mint Holofoil",1,11.39
1/24/25,"NM Holofoil
Near Mint Holofoil",2,11.39
1/24/25,"NM Holofoil
Near Mint Holofoil",1,10.39
1/23/25,"NM Holofoil
Near Mint Holofoil",1,11.39
