Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
Abzan Devotee,tdm,68,common,True,True,0.01,,0.104167
Abzan Monument,tdm,238,uncommon,True,True,0.06,,0.03
Adorned Crocodile,tdm,69,common,True,True,0.03,,0.104167
Aegis Sculptor,tdm,35,uncommon,True,True,0.05,,0.03
Agent of Kotis,tdm,36,common,True,True,0.03,,0.104167
Aggressive Negotiations,tdm,70,common,True,True,0.05,,0.104167
Ainok Wayfarer,tdm,134,common,True,True,0.09,,0.104167
Alchemist's Assistant,tdm,71,uncommon,True,True,0.08,,0.03
Alesha's Legacy,tdm,72,common,True,True,0.04,,0.104167
All-Out Assault,tdm,167,mythic,True,True,4.60,enchantment,0.008333
Ambling Stormshell,tdm,37,rare,True,True,0.15,,0.016667
"Anafenza, Unyielding Lineage",tdm,2,rare,True,True,0.21,legendary,0.016667
Arashin Sunshield,tdm,3,common,True,True,0.02,,0.104167
Armament Dragon,tdm,168,uncommon,True,True,0.05,,0.03
Attuned Hunter,tdm,135,uncommon,True,True,0.05,,0.03
Auroral Procession,tdm,169,uncommon,True,True,0.22,,0.03
Avenger of the Fallen,tdm,73,rare,True,True,0.53,,0.016667
Awaken the Honored Dead,tdm,170,rare,True,True,0.19,enchantment,0.016667
Barrensteppe Siege,tdm,171,rare,True,True,0.41,enchantment,0.016667
Bearer of Glory,tdm,4,common,True,True,0.03,,0.104167
"Betor, Kin to All",tdm,172,mythic,True,True,10.04,legendary,0.008333
Bewildering Blizzard,tdm,38,uncommon,True,True,0.05,,0.03
Bloodfell Caves,tdm,250,common,True,True,0.03,,0.104167
Bloomvine Regent // Claim Territory,tdm,136,rare,True,True,0.68,,0.016667
Blossoming Sands,tdm,251,common,True,True,0.08,,0.104167
Bone-Cairn Butcher,tdm,173,uncommon,True,True,0.13,,0.03
Boulderborn Dragon,tdm,239,common,True,True,0.02,,0.104167
Breaching Dragonstorm,tdm,101,uncommon,True,True,0.16,enchantment,0.03
Call the Spirit Dragons,tdm,174,mythic,True,True,4.92,enchantment,0.008333
Caustic Exhale,tdm,74,common,True,True,0.06,,0.104167
Champion of Dusan,tdm,137,common,True,True,0.03,,0.104167
Channeled Dragonfire,tdm,102,uncommon,True,True,0.07,,0.03
Clarion Conqueror,tdm,5,rare,True,True,1.37,,0.016667
Constrictor Sage,tdm,39,uncommon,True,True,0.06,,0.03
Coordinated Maneuver,tdm,6,common,True,True,0.04,,0.104167
Cori Mountain Monastery,tdm,252,rare,True,True,0.32,,0.016667
Cori Mountain Stalwart,tdm,175,uncommon,True,True,0.07,,0.03
Cori-Steel Cutter,tdm,103,rare,True,True,15.15,,0.016667
Corroding Dragonstorm,tdm,75,uncommon,True,True,0.08,enchantment,0.03
Craterhoof Behemoth,tdm,138,mythic,True,True,14.55,,0.008333
Cruel Truths,tdm,76,common,True,True,0.02,,0.104167
Dalkovan Encampment,tdm,253,rare,True,True,0.43,,0.016667
Dalkovan Packbeasts,tdm,7,uncommon,True,True,0.15,,0.03
Death Begets Life,tdm,176,mythic,True,True,0.60,,0.008333
Defibrillating Current,tdm,177,uncommon,True,True,0.04,,0.03
Delta Bloodflies,tdm,77,common,True,True,0.02,,0.104167
Descendant of Storms,tdm,8,uncommon,True,True,0.07,,0.03
Desperate Measures,tdm,78,uncommon,True,True,0.11,,0.03
Devoted Duelist,tdm,104,common,True,True,0.06,,0.104167
Dirgur Island Dragon // Skimming Strike,tdm,40,common,True,True,0.06,,0.104167
Dismal Backwater,tdm,254,common,True,True,0.03,,0.104167
Dispelling Exhale,tdm,41,common,True,True,0.08,,0.104167
Disruptive Stormbrood // Petty Revenge,tdm,178,uncommon,True,True,0.10,,0.03
Dracogenesis,tdm,105,mythic,True,True,16.26,enchantment,0.008333
Dragonback Assault,tdm,179,mythic,True,True,3.19,enchantment,0.008333
Dragonback Lancer,tdm,9,common,True,True,0.04,,0.104167
Dragonbroods' Relic,tdm,140,uncommon,True,True,0.06,,0.03
Dragonclaw Strike,tdm,180,uncommon,True,True,0.07,,0.03
Dragonfire Blade,tdm,240,rare,True,True,0.60,,0.016667
Dragonologist,tdm,42,rare,True,True,0.27,,0.016667
Dragon Sniper,tdm,139,uncommon,True,True,0.27,,0.03
Dragon's Prey,tdm,79,common,True,True,0.02,,0.104167
Dragonstorm Forecaster,tdm,43,uncommon,True,True,0.06,,0.03
Dragonstorm Globe,tdm,241,common,True,True,0.12,,0.104167
Dusyut Earthcarver,tdm,141,common,True,True,0.01,,0.104167
Duty Beyond Death,tdm,10,uncommon,True,True,0.20,,0.03
Effortless Master,tdm,181,uncommon,True,True,0.04,,0.03
"Elspeth, Storm Slayer",tdm,11,mythic,True,True,40.45,,0.008333
Embermouth Sentinel,tdm,242,common,True,True,0.03,,0.104167
Encroaching Dragonstorm,tdm,142,uncommon,True,True,0.15,enchantment,0.03
Equilibrium Adept,tdm,106,uncommon,True,True,0.05,,0.03
Eshki Dragonclaw,tdm,182,rare,True,True,0.19,legendary,0.016667
Essence Anchor,tdm,44,uncommon,True,True,0.05,,0.03
Evolving Wilds,tdm,255,common,True,True,0.05,,0.104167
Fangkeeper's Familiar,tdm,183,rare,True,True,0.26,,0.016667
"Felothar, Dawn of the Abzan",tdm,184,rare,True,True,0.23,legendary,0.016667
Feral Deathgorger // Dusk Sight,tdm,80,common,True,True,0.05,,0.104167
Fire-Rim Form,tdm,107,common,True,True,0.02,enchantment,0.104167
Flamehold Grappler,tdm,185,rare,True,True,0.24,,0.016667
Fleeting Effigy,tdm,108,uncommon,True,True,0.09,,0.03
Focus the Mind,tdm,45,common,True,True,0.08,,0.104167
Forest,tdm,285,common,True,True,0.12,,0.104167
Formation Breaker,tdm,143,uncommon,True,True,0.04,,0.03
Fortress Kin-Guard,tdm,12,common,True,True,0.04,,0.104167
Fresh Start,tdm,46,uncommon,True,True,0.06,enchantment,0.03
Frontier Bivouac,tdm,256,uncommon,True,True,0.12,,0.03
Frontline Rush,tdm,186,uncommon,True,True,0.22,,0.03
Frostcliff Siege,tdm,187,rare,True,True,1.00,enchantment,0.016667
Furious Forebear,tdm,13,uncommon,True,True,0.03,,0.03
Glacial Dragonhunt,tdm,188,uncommon,True,True,0.12,,0.03
Glacierwood Siege,tdm,189,rare,True,True,0.38,enchantment,0.016667
Great Arashin City,tdm,257,rare,True,True,0.37,,0.016667
Gurmag Nightwatch,tdm,190,common,True,True,0.04,,0.104167
Gurmag Rakshasa,tdm,81,uncommon,True,True,0.02,,0.03
Hardened Tactician,tdm,191,uncommon,True,True,0.25,,0.03
Herd Heirloom,tdm,144,rare,True,True,4.80,,0.016667
Heritage Reclamation,tdm,145,common,True,True,0.12,,0.104167
Highspire Bell-Ringer,tdm,47,common,True,True,0.06,,0.104167
Hollowmurk Siege,tdm,192,rare,True,True,0.37,enchantment,0.016667
